InfoCube,Version,Object Status,Content Release,Content Timestamp,Owner,BW Application,INFOAREA,Cube Type,Cube Sub Type
0TCT_VCA1,D,INA,7.5/00,"2,01,50,80,70,70,418",SAP,BW,0BWTCT,V,S
0TCT_VCA1,M,ACT,7.3/00,"2,00,90,81,21,00,434",SAP,BW,0BWTCT,V,S
0TCT_VC32,A,ACT,7.3/00,"2,01,00,21,20,81,322",SAP,BW,0BWTCT,V,S
0TCT_VC32,D,ACT,7.3/00,"2,01,00,21,20,81,322",SAP,BW,0BWTCT,V,S
0TCT_VC32,M,ACT,7.3/00,"2,01,00,21,20,81,322",SAP,BW,0BWTCT,V,S
0TCT_VC31,A,ACT,7.3/00,"2,01,00,21,20,82,006",SAP,BW,0BWTCT,V,S
0TCT_VC31,D,ACT,7.3/00,"2,01,00,21,20,82,006",SAP,BW,0BWTCT,V,S
0TCT_VC31,M,ACT,7.3/00,"2,01,00,21,20,82,006",SAP,BW,0BWTCT,V,S
0TCT_VC28,A,ACT,7.4/00,"2,01,10,82,91,22,754",SAP,BW,0BWTCT,V,S
0TCT_VC28,D,ACT,7.4/00,"2,01,10,82,91,22,754",SAP,BW,0BWTCT,V,S
0TCT_VC28,M,ACT,7.4/00,"2,01,10,82,91,22,754",SAP,BW,0BWTCT,V,S
0TCT_VC27,A,ACT,7.4/00,"2,01,10,81,80,45,827",SAP,BW,0BWTCT,V,S
0TCT_VC27,D,ACT,7.4/00,"2,01,10,81,80,45,827",SAP,BW,0BWTCT,V,S
0TCT_VC27,M,ACT,7.4/00,"2,01,10,81,80,45,827",SAP,BW,0BWTCT,V,S
0TCT_VC26,A,ACT,7.4/00,"2,01,10,81,80,45,501",SAP,BW,0BWTCT,V,S
0TCT_VC26,D,ACT,7.4/00,"2,01,10,81,80,45,501",SAP,BW,0BWTCT,V,S
0TCT_VC26,M,ACT,7.4/00,"2,01,10,81,80,45,501",SAP,BW,0BWTCT,V,S
0TCT_VC23,A,ACT,7.3/00,"2,00,50,92,81,45,429",SAP,BW,0BWTCT,V,S
0TCT_VC23,D,INA,7.5/00,"2,01,50,80,70,65,645",SAP,BW,0BWTCT,V,S
0TCT_VC23,M,ACT,7.3/00,"2,00,50,92,81,45,429",SAP,BW,0BWTCT,V,S
0TCT_VC22,A,ACT,7.3/00,"2,00,70,80,20,53,545",SAP,BW,0BWTCT,V,S
0TCT_VC22,D,INA,7.5/00,"2,01,50,80,70,64,510",SAP,BW,0BWTCT,V,S
0TCT_VC22,M,ACT,7.3/00,"2,00,70,80,20,53,545",SAP,BW,0BWTCT,V,S
0TCT_VC21,A,ACT,7.5/00,"2,01,50,40,71,03,909",SAP,BW,0BWTCT,V,S
0TCT_VC21,D,ACT,7.5/00,"2,01,50,40,71,03,909",SAP,BW,0BWTCT,V,S
0TCT_VC21,M,ACT,7.5/00,"2,01,50,40,71,03,909",SAP,BW,0BWTCT,V,S
0TCT_VC12,A,ACT,7.5/00,"2,01,50,33,11,02,911",SAP,BW,0BWTCT,V,S
0TCT_VC12,D,INA,7.5/00,"2,01,50,80,70,65,722",SAP,BW,0BWTCT,V,S
0TCT_VC12,M,ACT,7.5/00,"2,01,50,33,11,02,911",SAP,BW,0BWTCT,V,S
0TCT_VC11,A,ACT,7.3/00,"2,00,70,80,11,00,935",SAP,BW,0BWTCT,V,S
0TCT_VC11,D,INA,7.5/00,"2,01,50,80,70,70,258",SAP,BW,0BWTCT,V,S
0TCT_VC11,M,ACT,7.3/00,"2,00,70,80,11,00,935",SAP,BW,0BWTCT,V,S
0TCT_VC07,A,ACT,7.3/00,"2,00,70,80,11,12,010",SAP,BW,0BWTCT,V,S
0TCT_VC07,D,ACT,7.3/00,"2,00,70,80,11,12,010",SAP,BW,0BWTCT,V,S
0TCT_VC07,M,ACT,7.3/00,"2,00,70,80,11,12,010",SAP,BW,0BWTCT,V,S
0TCT_VC06,A,ACT,7.3/00,"2,00,70,80,60,43,430",SAP,BW,0BWTCT,V,S
0TCT_VC06,D,ACT,7.3/00,"2,00,70,80,60,43,430",SAP,BW,0BWTCT,V,S
0TCT_VC06,M,ACT,7.3/00,"2,00,70,80,60,43,430",SAP,BW,0BWTCT,V,S
0TCT_VC05,A,ACT,7.3/00,"2,00,70,80,60,44,718",SAP,BW,0BWTCT,V,S
0TCT_VC05,D,ACT,7.3/00,"2,00,70,80,60,44,718",SAP,BW,0BWTCT,V,S
0TCT_VC05,M,ACT,7.3/00,"2,00,70,80,60,44,718",SAP,BW,0BWTCT,V,S
0TCT_VC03,A,ACT,7.3/00,"2,01,00,11,20,85,512",SAP,BW,0BWTCT,V,S
0TCT_VC03,D,INA,7.5/00,"2,01,50,80,70,70,222",SAP,BW,0BWTCT,V,S
0TCT_VC03,M,ACT,7.3/00,"2,01,00,11,20,85,512",SAP,BW,0BWTCT,V,S
0TCT_VC02,A,ACT,7.3/00,"2,00,51,02,11,30,631",SAP,BW,0BWTCT,V,S
0TCT_VC02,D,INA,7.5/00,"2,01,50,80,70,65,827",SAP,BW,0BWTCT,V,S
0TCT_VC02,M,ACT,7.3/00,"2,00,51,02,11,30,631",SAP,BW,0BWTCT,V,S
0TCT_VC01,A,ACT,7.3/00,"2,00,90,81,21,00,305",SAP,BW,0BWTCT,V,S
0TCT_VC01,D,INA,7.5/00,"2,01,50,80,70,63,723",SAP,BW,0BWTCT,V,S
0TCT_VC01,M,ACT,7.3/00,"2,00,90,81,21,00,305",SAP,BW,0BWTCT,V,S
0TCT_MCWS,A,ACT,7.4/00,"2,01,10,81,80,50,252",SAP,BW,0BWTCT,M,
0TCT_MCWS,D,ACT,7.4/00,"2,01,10,81,80,50,252",SAP,BW,0BWTCT,M,
0TCT_MCWS,M,ACT,7.4/00,"2,01,10,81,80,50,252",SAP,BW,0BWTCT,M,
0TCT_MCA1,A,ACT,7.3/00,"2,00,90,81,21,01,147",SAP,BW,0BWTCT,M,
0TCT_MCA1,D,ACT,7.3/00,"2,00,90,81,21,01,147",SAP,BW,0BWTCT,M,
0TCT_MCA1,M,ACT,7.3/00,"2,00,90,81,21,01,147",SAP,BW,0BWTCT,M,
0TCT_MC32,A,ACT,7.3/00,"2,01,00,21,20,82,825",SAP,BW,0BWTCT,M,
0TCT_MC32,D,ACT,7.3/00,"2,01,00,21,20,82,825",SAP,BW,0BWTCT,M,
0TCT_MC32,M,ACT,7.3/00,"2,01,00,21,20,82,825",SAP,BW,0BWTCT,M,
0TCT_MC31,A,ACT,7.3/00,"2,01,00,21,20,82,439",SAP,BW,0BWTCT,M,
0TCT_MC31,D,ACT,7.3/00,"2,01,00,21,20,82,439",SAP,BW,0BWTCT,M,
0TCT_MC31,M,ACT,7.3/00,"2,01,00,21,20,82,439",SAP,BW,0BWTCT,M,
0TCT_MC25,A,ACT,7.3/00,"2,00,90,11,50,83,806",SAP,BW,0BWTCT,M,
0TCT_MC25,D,ACT,7.3/00,"2,00,90,11,50,83,806",SAP,BW,0BWTCT,M,
0TCT_MC25,M,ACT,7.3/00,"2,00,90,11,50,83,806",SAP,BW,0BWTCT,M,
0TCT_MC23,A,ACT,7.3/00,"2,00,80,22,80,51,626",SAP,BW,0BWTCT,M,
0TCT_MC23,D,ACT,7.3/00,"2,00,80,22,80,51,626",SAP,BW,0BWTCT,M,
0TCT_MC23,M,ACT,7.3/00,"2,00,80,22,80,51,626",SAP,BW,0BWTCT,M,
0TCT_MC22,A,ACT,7.3/00,"2,00,51,22,31,41,041",SAP,BW,0BWTCT,M,
0TCT_MC22,D,ACT,7.3/00,"2,00,51,22,31,41,041",SAP,BW,0BWTCT,M,
0TCT_MC22,M,ACT,7.3/00,"2,00,51,22,31,41,041",SAP,BW,0BWTCT,M,
0TCT_MC21,A,ACT,7.3/00,"2,00,50,92,81,43,912",SAP,BW,0BWTCT,M,
0TCT_MC21,D,ACT,7.3/00,"2,00,50,92,81,43,912",SAP,BW,0BWTCT,M,
0TCT_MC21,M,ACT,7.3/00,"2,00,50,92,81,43,912",SAP,BW,0BWTCT,M,
0TCT_MC15,A,ACT,7.3/00,"2,01,00,42,11,43,631",SAP,BW,0BWTCT,M,
0TCT_MC15,D,ACT,7.3/00,"2,01,00,42,11,43,631",SAP,BW,0BWTCT,M,
0TCT_MC15,M,ACT,7.3/00,"2,01,00,42,11,43,631",SAP,BW,0BWTCT,M,
0TCT_MC14,A,ACT,7.3/00,"2,01,00,41,30,60,011",SAP,BW,0BWTCT,M,
0TCT_MC14,D,ACT,7.3/00,"2,01,00,41,30,60,011",SAP,BW,0BWTCT,M,
0TCT_MC14,M,ACT,7.3/00,"2,01,00,41,30,60,011",SAP,BW,0BWTCT,M,
0TCT_MC12,A,ACT,7.3/00,"2,00,50,90,11,30,654",SAP,BW,0BWTCT,M,
0TCT_MC12,D,ACT,7.3/00,"2,00,50,90,11,30,654",SAP,BW,0BWTCT,M,
0TCT_MC12,M,ACT,7.3/00,"2,00,50,90,11,30,654",SAP,BW,0BWTCT,M,
0TCT_MC11,A,ACT,7.3/00,"2,00,70,13,01,13,252",SAP,BW,0BWTCT,M,
0TCT_MC11,D,ACT,7.3/00,"2,00,70,13,01,13,252",SAP,BW,0BWTCT,M,
0TCT_MC11,M,ACT,7.3/00,"2,00,70,13,01,13,252",SAP,BW,0BWTCT,M,
0TCT_MC07,A,ACT,7.3/00,"2,00,60,32,10,34,509",SAP,BW,0BWTCT,M,
0TCT_MC07,D,ACT,7.3/00,"2,00,60,32,10,34,509",SAP,BW,0BWTCT,M,
0TCT_MC07,M,ACT,7.3/00,"2,00,60,32,10,34,509",SAP,BW,0BWTCT,M,
0TCT_MC06,A,ACT,7.3/00,"2,00,60,32,10,34,325",SAP,BW,0BWTCT,M,
0TCT_MC06,D,ACT,7.3/00,"2,00,60,32,10,34,325",SAP,BW,0BWTCT,M,
0TCT_MC06,M,ACT,7.3/00,"2,00,60,32,10,34,325",SAP,BW,0BWTCT,M,
0TCT_MC05,A,ACT,7.3/00,"2,00,60,32,10,34,125",SAP,BW,0BWTCT,M,
0TCT_MC05,D,ACT,7.3/00,"2,00,60,32,10,34,125",SAP,BW,0BWTCT,M,
0TCT_MC05,M,ACT,7.3/00,"2,00,60,32,10,34,125",SAP,BW,0BWTCT,M,
0TCT_MC03,A,ACT,7.3/00,"2,01,00,11,20,85,547",SAP,BW,0BWTCT,M,
0TCT_MC03,D,ACT,7.3/00,"2,01,00,11,20,85,547",SAP,BW,0BWTCT,M,
0TCT_MC03,M,ACT,7.3/00,"2,01,00,11,20,85,547",SAP,BW,0BWTCT,M,
0TCT_MC02,A,ACT,7.3/00,"2,00,51,02,11,30,808",SAP,BW,0BWTCT,M,
0TCT_MC02,D,ACT,7.3/00,"2,00,51,02,11,30,808",SAP,BW,0BWTCT,M,
0TCT_MC02,M,ACT,7.3/00,"2,00,51,02,11,30,808",SAP,BW,0BWTCT,M,
0TCT_MC01,A,ACT,7.3/00,"2,00,90,81,21,01,328",SAP,BW,0BWTCT,M,
0TCT_MC01,D,ACT,7.3/00,"2,00,90,81,21,01,328",SAP,BW,0BWTCT,M,
0TCT_MC01,M,ACT,7.3/00,"2,00,90,81,21,01,328",SAP,BW,0BWTCT,M,
0TCT_CA1,A,ACT,7.3/00,"2,00,90,81,20,94,959",SAP,BW,0BWTCT,B,F
0TCT_CA1,D,ACT,7.3/00,"2,00,90,81,20,94,959",SAP,BW,0BWTCT,B,
0TCT_CA1,M,ACT,7.3/00,"2,00,90,81,20,94,959",SAP,BW,0BWTCT,B,F
0TCT_C32,A,ACT,7.3/00,"2,01,00,21,20,82,340",SAP,BW,0BWTCT,B,F
0TCT_C32,D,ACT,7.3/00,"2,01,00,21,20,82,340",SAP,BW,0BWTCT,B,
0TCT_C32,M,ACT,7.3/00,"2,01,00,21,20,82,340",SAP,BW,0BWTCT,B,F
0TCT_C31,A,ACT,7.3/00,"2,01,00,21,20,81,539",SAP,BW,0BWTCT,B,F
0TCT_C31,D,ACT,7.3/00,"2,01,00,21,20,81,539",SAP,BW,0BWTCT,B,
0TCT_C31,M,ACT,7.3/00,"2,01,00,21,20,81,539",SAP,BW,0BWTCT,B,F
0TCT_C25,A,ACT,7.3/00,"2,00,90,11,50,61,847",SAP,BW,0BWTCT,B,F
0TCT_C25,D,ACT,7.3/00,"2,00,90,11,50,61,847",SAP,BW,0BWTCT,B,
0TCT_C25,M,ACT,7.3/00,"2,00,90,11,50,61,847",SAP,BW,0BWTCT,B,F
0TCT_C23,A,ACT,7.3/00,"2,00,50,92,81,45,519",SAP,BW,0BWTCT,B,F
0TCT_C23,D,ACT,7.3/00,"2,00,50,92,81,45,519",SAP,BW,0BWTCT,B,
0TCT_C23,M,ACT,7.3/00,"2,00,50,92,81,45,519",SAP,BW,0BWTCT,B,F
0TCT_C22,A,ACT,7.3/00,"2,00,70,80,20,61,808",SAP,BW,0BWTCT,B,F
0TCT_C22,D,ACT,7.3/00,"2,00,70,80,20,61,808",SAP,BW,0BWTCT,B,
0TCT_C22,M,ACT,7.3/00,"2,00,70,80,20,61,808",SAP,BW,0BWTCT,B,F
0TCT_C21,A,ACT,7.3/00,"2,00,70,72,41,53,415",SAP,BW,0BWTCT,B,F
0TCT_C21,D,ACT,7.3/00,"2,00,70,72,41,53,415",SAP,BW,0BWTCT,B,
0TCT_C21,M,ACT,7.3/00,"2,00,70,72,41,53,415",SAP,BW,0BWTCT,B,F
0TCT_C15,A,ACT,7.3/00,"2,01,00,42,11,42,945",SAP,BW,0BWTCT,B,F
0TCT_C15,D,ACT,7.3/00,"2,01,00,42,11,42,945",SAP,BW,0BWTCT,B,
0TCT_C15,M,ACT,7.3/00,"2,01,00,42,11,42,945",SAP,BW,0BWTCT,B,F
0TCT_C14,A,ACT,7.3/00,"2,01,00,41,30,55,859",SAP,BW,0BWTCT,B,F
